rest_close_eye_start,rest_close_eye_start_lsl,rest_close_eye_end,rest_close_eye_end_lsl,rest_open_eye_start,rest_open_eye_start_lsl,rest_open_eye_end,rest_open_eye_end_lsl,event,rating_label,kss_rating,time_sec,lsl_timestamp,stress,frustration,phase,trial,tick_soa_s,is_target_double_jump,responded,rt,n_positions,position_phase,correct,hit,false_alarm,miss,participant,calibration_min,formal_min,ratings_every_min,mack_positions,mack_initial_SOA,mack_target_prob
,,,,,,,,,,,53,147251.4101109,,,Mackworth_Calibration,53,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,54,147252.1121882,,,Mackworth_Calibration,54,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,55,147252.826928,,,Mackworth_Calibration,55,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,55,147253.5438006,,,Mackworth_Calibration,56,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,56,147254.2998625,,,Mackworth_Calibration,57,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,57,147255.0153279,,,Mackworth_Calibration,58,0.7,1,1,0.41113120000227354,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,57,147255.7466175,,,Mackworth_Calibration,59,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,58,147256.4521593,,,Mackworth_Calibration,60,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,59,147257.1578588,,,Mackworth_Calibration,61,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,60,147257.8596502,,,Mackworth_Calibration,62,0.7,1,1,0.5868912000150885,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,60,147258.5852119,,,Mackworth_Calibration,63,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,61,147259.3214798,,,Mackworth_Calibration,64,0.7,1,1,0.39905010000802577,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,62,147260.0313005,,,Mackworth_Calibration,65,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,62,147260.7530892,,,Mackworth_Calibration,66,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,63,147261.478204,,,Mackworth_Calibration,67,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,64,147262.2369114,,,Mackworth_Calibration,68,0.7,1,1,0.3632942000112962,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,65,147262.9646722,,,Mackworth_Calibration,69,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,65,147263.6902896,,,Mackworth_Calibration,70,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,66,147264.4226784,,,Mackworth_Calibration,71,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,67,147265.1303425,,,Mackworth_Calibration,72,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,68,147265.8844702,,,Mackworth_Calibration,73,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,68,147266.6143139,,,Mackworth_Calibration,74,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,69,147267.3380631,,,Mackworth_Calibration,75,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,70,147268.0492959,,,Mackworth_Calibration,76,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,71,147268.7837494,,,Mackworth_Calibration,77,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,71,147269.5246715,,,Mackworth_Calibration,78,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,72,147270.2471097,,,Mackworth_Calibration,79,0.7,1,1,0.3943816000246443,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,73,147271.0073118,,,Mackworth_Calibration,80,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,73,147271.7041599,,,Mackworth_Calibration,81,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,74,147272.3706747,,,Mackworth_Calibration,82,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,75,147273.0860681,,,Mackworth_Calibration,83,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,76,147273.7838107,,,Mackworth_Calibration,84,0.6649999999999999,1,1,0.45338940000510775,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,76,147274.4686977,,,Mackworth_Calibration,85,0.6649999999999999,1,1,0.48913550001452677,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,77,147275.1754278,,,Mackworth_Calibration,86,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,78,147275.8562572,,,Mackworth_Calibration,87,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,78,147276.5535487,,,Mackworth_Calibration,88,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,79,147277.2394704,,,Mackworth_Calibration,89,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,80,147277.9364974,,,Mackworth_Calibration,90,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,80,147278.6122619,,,Mackworth_Calibration,91,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,81,147279.3007702,,,Mackworth_Calibration,92,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,82,147279.9842724,,,Mackworth_Calibration,93,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,82,147280.6735228,,,Mackworth_Calibration,94,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,83,147281.3758152,,,Mackworth_Calibration,95,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,84,147282.0463167,,,Mackworth_Calibration,96,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,84,147282.7118104,,,Mackworth_Calibration,97,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,85,147283.4005689,,,Mackworth_Calibration,98,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,86,147284.0840457,,,Mackworth_Calibration,99,0.6649999999999999,1,1,0.4421922000183258,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,86,147284.7492061,,,Mackworth_Calibration,100,0.6649999999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,87,147285.4167309,,,Mackworth_Calibration,101,0.6317499999999999,1,1,0.42282799998065457,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,88,147286.0800193,,,Mackworth_Calibration,102,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,88,147286.7401361,,,Mackworth_Calibration,103,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,89,147287.3735417,,,Mackworth_Calibration,104,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,90,147288.0438341,,,Mackworth_Calibration,105,0.6317499999999999,1,1,0.36274300000513904,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,90,147288.6919119,,,Mackworth_Calibration,106,0.6317499999999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
